,ID,DATA,TEL,CPF,SOLICITANTE,CD_TUSS,DS_RECEITA
0,9458,2020-04-25,1100009458,12345679458,Gustavo,40901114,Mamas
2,14824,2020-05-03,1100014824,123456714824,Pedro,40805018,Tórax - 1 Incidência
3,14824,2020-07-03,1100014824,123456714824,Pedro,40805018,Tórax - 1 Incidência
4,14824,2020-07-04,1100014824,123456714824,Pedro,40805018,Tórax - 1 Incidência
5,14824,2020-02-06,1100014824,123456714824,Pedro,40805018,Tórax - 1 Incidência
6,14824,2020-02-03,1100014824,123456714824,Pedro,40805018,Tórax - 1 Incidência
9,5827,2020-06-04,1100005827,12345675827,Paula,41101014,Crânio (Encéfalo)
10,8954,2020-09-06,1100008954,12345678954,Vinícius,40901114,Mamas
11,6637,2020-09-25,1100006637,12345676637,Tatiana,40901483,Doppler Colorido Venoso De Membro Inferior - Unilateral
13,14503,2020-08-17,1100014503,123456714503,Ana,40901300,Transvaginal (Inclui Abdome Inferior Feminino)
15,9946,2020-07-17,1100009946,12345679946,Carlos,40808041,Mamografia Digital Bilateral
18,5941,2020-04-20,1100005941,12345675941,Maria,41101014,Crânio (Encéfalo)
19,15534,2020-12-26,1100015534,123456715534,Vinícius,40901203,Órgãos Superficiais (Tireóide Ou Escroto Ou Pênis Ou Crânio)
20,9545,2020-06-09,1100009545,12345679545,Mariana,40901114,Mamas
21,9606,2020-04-19,1100009606,12345679606,Carlos,40901114,Mamas
22,3942,2020-07-19,1100003942,12345673942,José,40901122,Abdome Total (Inclui Pelve)
23,4829,2020-01-14,1100004829,12345674829,Juliana,40901220,Articular (Por Articulação)
24,7987,2020-08-27,1100007987,12345677987,Paula,40901106,Ecodopplercardiograma Transtorácico
25,4519,2020-11-08,1100004519,12345674519,Isabela,41101316,Articular (Por Articulação)
26,4084,2020-11-04,1100004084,12345674084,Pedro,40901122,Abdome Total (Inclui Pelve)
27,1799,2020-10-15,1100001799,12345671799,Isabela,41001117,Tc - Pelve Ou Bacia
28,9157,2020-10-26,1100009157,12345679157,Tatiana,40901114,Mamas
29,4451,2020-08-29,1100004451,12345674451,Cristina,41101316,Articular (Por Articulação)
30,1142,2020-05-30,1100001142,12345671142,José,40802051,Coluna Lombo-Sacra -3 Incidências
31,10641,2020-01-13,1100010641,123456710641,Maria,41101189,Pelve (Não Inclui Articulações Coxofemorais)
32,10682,2020-06-01,1100010682,123456710682,José,41101189,Pelve (Não Inclui Articulações Coxofemorais)
33,8842,2020-04-06,1100008842,12345678842,José,40901114,Mamas
35,5712,2020-05-15,1100005712,12345675712,Rafael,41101227,Coluna Cervical Ou Dorsal Ou Lombar
40,9600,2020-11-11,1100009600,12345679600,João,40901114,Mamas
41,2585,2020-03-09,1100002585,12345672585,Mariana,41101170,"Abdome Superior (Fígado, Pâncreas, Baço, Rins, Supra-Renais, Retroperitônio)"
44,6343,2020-08-02,1100006343,12345676343,Ana,40901360,Doppler Colorido De Vasos Cervicais Arteriais Bilateral (Carótidas E Vertebrais)
45,6250,2020-11-20,1100006250,12345676250,Fernando,40808130,Densitometria Óssea - 2 Segmentos (Coluna E Fêmur)
46,9366,2020-01-11,1100009366,12345679366,Carlos,40901114,Mamas
47,15245,2020-07-07,1100015245,123456715245,Mariana,40901203,Órgãos Superficiais (Tireóide Ou Escroto Ou Pênis Ou Crânio)
48,6546,2020-05-11,1100006546,12345676546,Carlos,40901360,Doppler Colorido De Vasos Cervicais Arteriais Bilateral (Carótidas E Vertebrais)
50,5685,2020-06-29,1100005685,12345675685,Mariana,41101227,Coluna Cervical Ou Dorsal Ou Lombar
51,10116,2020-07-10,1100010116,123456710116,Rodrigo,40808041,Mamografia Digital Bilateral
53,10595,2020-02-18,1100010595,123456710595,Camila,41101189,Pelve (Não Inclui Articulações Coxofemorais)
54,3355,2020-12-10,1100003355,12345673355,Camila,40901122,Abdome Total (Inclui Pelve)
55,10571,2020-03-26,1100010571,123456710571,Cristina,41101189,Pelve (Não Inclui Articulações Coxofemorais)
58,14913,2020-01-03,1100014913,123456714913,Patrícia,40805018,Tórax - 1 Incidência
59,5946,2020-11-28,1100005946,12345675946,Carlos,41101014,Crânio (Encéfalo)
60,6239,2020-10-18,1100006239,12345676239,Isabela,40808130,Densitometria Óssea - 2 Segmentos (Coluna E Fêmur)
63,4667,2020-04-19,1100004667,12345674667,Paula,41101316,Articular (Por Articulação)
65,2932,2020-05-05,1100002932,12345672932,Rafael,40901122,Abdome Total (Inclui Pelve)
66,7851,2020-03-09,1100007851,12345677851,Cristina,40901106,Ecodopplercardiograma Transtorácico
68,7497,2020-08-08,1100007497,12345677497,Tatiana,40901106,Ecodopplercardiograma Transtorácico
69,10182,2020-05-13,1100010182,123456710182,José,40808041,Mamografia Digital Bilateral
70,1495,2020-06-11,1100001495,12345671495,Camila,40804011,Bacia
73,3030,2020-07-28,1100003030,12345673030,Fernando,40901122,Abdome Total (Inclui Pelve)
77,7541,2020-02-27,1100007541,12345677541,Maria,40901106,Ecodopplercardiograma Transtorácico
79,1731,2020-08-23,1100001731,12345671731,Cristina,40803139,Mãos E Punhos Para Idade Óssea
80,3050,2020-01-30,1100003050,12345673050,Fernando,40901122,Abdome Total (Inclui Pelve)
82,13095,2020-09-10,1100013095,123456713095,Camila,41001095,"Tc Abdome Total (Abdome Superior, Pelve E Retroperitônio)"
83,10591,2020-12-28,1100010591,123456710591,Cristina,41101189,Pelve (Não Inclui Articulações Coxofemorais)
85,14103,2020-07-31,1100014103,123456714103,Ana,40901300,Transvaginal (Inclui Abdome Inferior Feminino)
86,1959,2020-03-14,1100001959,12345671959,Isabela,41101308,Pé (Antepé) - Não Inclui Tornozelo
87,3731,2020-08-27,1100003731,12345673731,Cristina,40901122,Abdome Total (Inclui Pelve)
88,4672,2020-02-05,1100004672,12345674672,Rafael,41101316,Articular (Por Articulação)
89,9098,2020-05-11,1100009098,12345679098,Gustavo,40901114,Mamas
90,13114,2020-12-05,1100013114,123456713114,Vinícius,41001095,"Tc Abdome Total (Abdome Superior, Pelve E Retroperitônio)"
91,14232,2020-04-23,1100014232,123456714232,Rafael,40901300,Transvaginal (Inclui Abdome Inferior Feminino)
92,3007,2020-03-06,1100003007,12345673007,Paula,40901122,Abdome Total (Inclui Pelve)
93,10606,2020-07-17,1100010606,123456710606,Carlos,41101189,Pelve (Não Inclui Articulações Coxofemorais)
94,4121,2020-07-20,1100004121,12345674121,Maria,41101537,Angio-Rm Arterial de Crânio
95,4770,2020-11-17,1100004770,12345674770,Fernando,40901220,Articular (Por Articulação)
96,13116,2020-03-04,1100013116,123456713116,Rodrigo,41001095,"Tc Abdome Total (Abdome Superior, Pelve E Retroperitônio)"
99,4532,2020-10-30,1100004532,12345674532,Rafael,41101316,Articular (Por Articulação)
100,14718,2020-04-16,1100014718,123456714718,Gustavo,40901300,Transvaginal (Inclui Abdome Inferior Feminino)
