ID,DATA,TEL,CPF,SOLICITANTE,DS_RECEITA,medicamento,dosagem,periodo
0,2020-02-15,1100000000,12345670000,João,"USO ORAL: 1) TORAGESIC 10 MG ------- TOMAR 1 COMPRIMIDO SUBLINGUAL A CADA 8 HORAS, POR 3 DIAS ",TORAGESIC 10 MG,1 COMPRIMIDO SUBLINGUAL,"8 HORAS, POR 3 DIAS"
1,2020-12-31,1100000001,12345670001,Maria,RELATÓRIO MÉDICO ,,,
2,2020-01-02,1100000002,12345670002,José,Uso oral 1)- Ibuprofeno gotas----- Dar 17 gotas de 8/8h por 2 dias  ,Ibuprofeno gotas,17 gotas,8/8h por 2 dias
3,2020-05-17,1100000003,12345670003,Ana,USO ORAL  1) Dipirona 500mg/ml ------------------------------ Dar 17 gotas via oral de 6 em 6 horas se dor.  USO EXTERNO  1) AD MUC --------------------------------------------- Aplicar em região interna das bochechas antes das principais refeições.  ,Dipirona 500mg/ml,17 gotas,de 6 em 6 horas
4,2020-01-13,1100000004,12345670004,Pedro,"Uso oral e contínuo  1. Fluoxetina 20 mg  TOmar 1 cp, vi oral, 1x/dia cedo  ",Fluoxetina,20 mg,1x/dia cedo
5,2020-04-03,1100000005,12345670005,Mariana,Uso oral 1 - Dipirona 1 g Tomar 1 comprimido por via oral de 6/6 horas se dor ou febre ,Dipirona,1 comprimido,6/6 horas
6,2020-10-28,1100000006,12345670006,Carlos,USO ORAL 1. FLORATIL 200MG ------------------01 CX TOMAR 1 CP DE 12/12 H POR 3 DIAS 2. ANNITA 500MG ---------------01 CX TOMAR 1 CP DE 12/12 H POR 3 DIAS 3. PANTOPRAZOL 40MG -------01 CX TOMAR 1 CP EM JEJUM 4. BUSCOPAM ---------------01 CX TOMAR 1 CP DE 8/8 H SE DOR ABDOMINAL 5. VONAU 08MG -------------01 CX TOMAR 1 CP DE 8/8 H SE NAUSEAS OU VOMITOS 6. ENTEROGERMINA PLUS ---------------01 CX TOMAR 1 FLACONETE 1X/DIA POR 3 DIAS ,,,
7,2020-11-24,1100000007,12345670007,Paula,                                                     USO  INT               1- Zinnat 250mg                                          01 cx                    Tomar 01 cp VO 12/12h por 7 dias                2- Biprofenid 150mg                                     01 cx                    Tomar 01 cp VO 12/12h por 5 dias                 3- Lisador   DIP                                           01 cx                      Tomar 01 cp VO 6/6h por 3 dias ,,,
8,2020-10-18,1100000008,12345670008,Lucas,"USO ORAL - DIPIRONA 1G   TOMAR 1 COMPRIMIDO DE 6/6 HORAS, SE DOR OU FEBRE - IBUPROFENO 400MG    TOMAR 1 COMPRIMIDO DE 8/8 HORAS, POR 5 DIAS - VONAU    TOMAR 1 COMPRIMIDO SUBLINGUAL DE 8/8 HORAS, SE NAUSEA OU VOMITOS - ENTEROGERMINA PLUS   TOMAR 1 FLACONETE AO DIA POR 5 DIAS - TIORFAN 100MG     TOMAR1 COMPRIMIDO DE 8/8 HORAS, ENQUANTO PERDURAR A DIARREIA ",,,
9,2020-04-16,1100000009,12345670009,Juliana, USO ORAL 1) DAFLON 1000 ------------     TOMAR 1CP AO DIA ,DAFLON 1000,1CP,AO DIA
