ID,DATA,TEL,CPF,SOLICITANTE,DS_RECEITA,Solicitação
90,2020-04-10,1100000090,12345670090,Fernando,                                          Paciente com dor em articulaçoes ha dias com RM da coluna com varias alteraçoes.                                          Solicito avaliaçao com Ortopedista.  ,RM
91,2020-04-16,1100000091,12345670091,Cristina,"TOMOGRAFIA COMPUTADORIZADA DE ABDOME TOTAL    Indicação clínica: dor após quimioembolização de neoplasia hepática.   Técnica: aquisição volumétrica multislice, com contraste endovenoso.     Relatório: Análise comparativa com a tomografias de abdome anteriores, notadamente a do dia 05/01/2024. Achados de maior relevância: Lesão focal tratada entre os segmentos  IVa / IVb, apresentando pequenos focos hiperdensos de permeio sugestivos de sangramento intralesional, inalterados em relação ao estudo pregresso. Não se observaram-se focos vascularizados na lesão suspeitos para neoplasia viável (LIRADS TR não viável). Associa-se distúrbio perfusional adjacente à lesão. Persistem sinais de trombose tumoral no ramo portal esquerdo (LIRADS-TIV). ""Organização"" da área de infarto no segmento III, agora com aspecto loculado, medindo 3,5 cm. Demais achados: Fígado de dimensões reduzidas, com hipertrofia dos segmentos laterais do lobo esquerdo e do lobo caudado, contornos ondulados e parênquima com atenuação heterogênea. Retração parenquimatosa e alteração de sinal do segmento VIII, compatível com fibrose confluente. Outras lesões hepáticas focais nodulares hipervascularizados subcentimétricos esparsos, sem evidência de washout, indeterminados (LI-RADS 3). Circulação colateral de médio calibre periesplênica, junto ao fundo gástrico, no plexo esofágico. Leve dilatação das vias biliares intra-hepáticas no segmento II, IV e VIII. Vesícula biliar normodistendida, com paredes espessadas e pequenos cálculos radiodensos no seu interior medindo até 0,3 cm (colecistolitíase).  Pâncreas de dimensões e morfologia preservadas, sem dilatação ductal. Diminuto cisto com 0,3 cm no colo, parcialmente avaliado ao método. Baço de morfologia e dimensões normais com parênquima homogêneo. Glândulas adrenais preservadas. Rins com dimensões e espessura do parênquima normais. Cálculos calicinais não obstrutivos bilaterais (ao menos 3 de cada lado), medindo até 0,3 cm. Não há hidronefrose.  Ureteres de trajeto e calibre preservados, sem cálculos. Bexiga com repleção parcial e conteúdo homogêneo. Aorta e veia cava inferior com trajeto e calibre preservados. Ateromatose aortoilíaca. Ausência de linfonodomegalias. ",TOMOGRAFIA COMPUTADORIZADA
110,2020-11-14,1100000110,12345670110,Fernando,SOLICITO 1- RX PUNHO COM TALA - AP + P COD: 40803112 CID: R522 ,RX
117,2020-02-18,1100000117,12345670117,Tatiana,SOLICITO RX DO TORNOZELO ESQ AP + AP VERD + P  ,RX
125,2020-09-15,1100000125,12345670125,Mariana,Rx 1- ESCITALOPRAM (RECONTER / ESCILEX) 10MG-----------------------02 CXS TOMAR 01 CP VO 1X/DIA ,Rx
152,2020-10-17,1100000152,12345670152,Rafael,Ambulatório de Ortopedia - CMD Solicitação de Exames: Radiografia - Rx do Pé D                   AP + Obliq. OBS: Realizar Rx antes da consulta. Retorno: 26/01/2024 ,Rx
212,2020-03-16,1100000212,12345670212,Rafael,SOLICITO HEMOGRAMA GLICEMIA JEJUM HEMOGLOBINA GLICADA TSH / T4 LIVRE COLESTEROL TOTAL E FRAÇÕES TRIGLICERÍDEOS TGO / TGP CREATININA / UREIA 25-OH-VITAMINA D HIV 1/2 / VDRL HBSAG / ANTI-HCV CID Z01.4 ,HEMOGRAMA
246,2020-01-08,1100000246,12345670246,Carlos,SOLICITO USG TRANSVAGINAL USG MAMAS HD: NÓDULOS MAMÁRIOS HISTERECTOMIA TOTAL ,USG
253,2020-07-26,1100000253,12345670253,Patrícia,SOLICITO HEMOGRAMA GLICEMIA JEJUM HEMOGLOBINA GLICADA TSH / T4 LIVRE COLESTEROL TOTAL E FRAÇÕES TRIGLICERÍDEOS TGO / TGP CREATININA / UREIA 25-OH-VITAMINA D VITAMINA B12  FSH / ESTRADIOL HIV 1/2 / VDRL HBSAG / ANTI-HCV HD: INSUFICIÊNCIA OVARIANA PREMATURA  ,HEMOGRAMA
254,2020-01-02,1100000254,12345670254,Vinícius,Solicito Hemograma completo TGO TGP COLETAR EXAMES EM 15/04/24 pela manha ,Hemograma
301,2020-01-19,1100000301,12345670301,Maria,"SOLICITO: - HEMOGRAMA -GLICEMIA -UREIA -CREATININA -TGO, TGP, FA, GAMA GT -BILIRRUBINAS TOTAIS E FRAÇÕES -COAGULOGRAMA -COLESTEROL TOTAL E FRAÇOES, TRIGLICERÍDEOS -TSH, T4 LIVRE -FAN -FERRITINA VITAMINA A -1,25(OH) VITAMINA D -VITAMINA E -VITAMINA C -VITAMINA B12 ",HEMOGRAMA
329,2020-01-11,1100000329,12345670329,Juliana, SOLICITO  Exame de Ressonancia magnetica das sacro iliacas  quadro inflamatorio M46.9 ,Ressonancia magnetica
380,2020-11-29,1100000380,12345670380,João,"SOLICITO OS SEGUINTES EXAMES HEMOGRAMA, FERRITINA GLICEMIA DE JEJUM TSH, T4LIVRE, ANTI TPO HIV, VDRL, HBSAG, ANTI HBS, HCV URINA 1 URC VITAMINA D VITAMINA B12 TOXOPLASMOSE IGG IGM RUBEOLA IGG IGM CMV IGG IGM TIPAGEM SANGUINEA/ COOMBS INDIRETO ",HEMOGRAMA
384,2020-11-04,1100000384,12345670384,Pedro,Rx 1- PATZ SL 5MG-------------------01 CXS COLOCAR 01 CP POR VIA SL À NOITE ,Rx
388,2020-08-15,1100000388,12345670388,Lucas,"AO LABORATORIO  SOLICITO HEMOGRAMA COMPLETO,  GRATA ",HEMOGRAMA
391,2020-01-06,1100000391,12345670391,Cristina,Ressonância Magnética fígado para quantificação de ferro hepático Justificativa: hemocromatose X esteatose hepática RESSONÂNCIA MAGNÉTICA SOB SEDAÇÃO ,Ressonância Magnética
392,2020-02-21,1100000392,12345670392,Rafael,SOLICITO: ULTRASSONOGRAFIA DE ABDOME TOTAL - TUSS 40901122 ULTRASSONOGRAFIA DE PAREDE ABDOMINAL - TUSS 40901211 X 2 - REGIÃO INGUINAL BILATERALMENTE DOR ABDOMINAL A/E R104 GRATO. ,ULTRASSONOGRAFIA
394,2020-07-24,1100000394,12345670394,Vinícius,SOLICITO URGENTE: EXAMES GERAIS ..........  HEMOGRAMA COMPLETO CID-10: A90 ,HEMOGRAMA
401,2020-12-01,1100000401,12345670401,Maria, HD  CONDROPATIA PATELAR OELHO DIREITO (M222)       TENDINITE FIBULARES (M77) CD  RESSONANCIA MAGNETICA JOELHO DIREITO E TORNOZELO ESQ (41101316  X  2) ,RESSONANCIA MAGNETICA
463,2020-02-13,1100000463,12345670463,Ana,"RELATORIO MEDICO PAICNETE COM DIAGNOSTICO DE ARTRITE REUMATOIDE FATOR REUMATOIDE POSITIVO (CID M058) DESDE 1984, JA TENDO REALIZADO TRATAMENTO COM PREDNISONA, SAIA DE OURO, METOTREXATO, E ADALIMUMABE.  INICOU ATENDIMENTO COM MEDICA ATUAL EM DEZEMBRO DE 2022 JA EM REMISSÃO DA DOENÇA EM US APENAS DE METOTREXATO. ATUALMENTE ENCONTRA-SE EM REMISSÃO DA DOENÇA EM USO DE METOTREXATO, SEM SEQUELAS ARTICULARES E SEM LIMITAÇÕES DE MOVIMENTO E DAS ATIVIDADES DIÁRIAS PARA COMPROVAÇÃO DO DIAGNOSTICO APRESENTA OS SEGUINTES EXAMES: RX COM LUXAÇÃO DIMINUIÇÃO DO ESPAÇO ARTICULAR EM CARPO COM EROSORES, ESCLEROSE SUBCONDRAL, PRESENÇA DE CISTOS EM 1ª IFD BILATERAL, FATOR REUAMTOIDE:79 E PROVAS INFLAMATORIAS AUMENTADAS ",RX
