ID,DATA,TEL,CPF,SOLICITANTE,DS_RECEITA
0,2020-02-15,1100000000,12345670000,João,"USO ORAL: 1) TORAGESIC 10 MG ------- TOMAR 1 COMPRIMIDO SUBLINGUAL A CADA 8 HORAS, POR 3 DIAS "
1,2020-12-31,1100000001,12345670001,Maria,RELATÓRIO MÉDICO
2,2020-01-02,1100000002,12345670002,José,Uso oral 1)- Ibuprofeno gotas----- Dar 17 gotas de 8/8h por 2 dias
3,2020-05-17,1100000003,12345670003,Ana,USO ORAL  1) Dipirona 500mg/ml ------------------------------ Dar 17 gotas via oral de 6 em 6 horas se dor.  USO EXTERNO  1) AD MUC --------------------------------------------- Aplicar em região interna das bochechas antes das principais refeições.
4,2020-01-13,1100000004,12345670004,Pedro,"Uso oral e contínuo  1. Fluoxetina 20 mg  TOmar 1 cp, vi oral, 1x/dia cedo  "
5,2020-04-03,1100000005,12345670005,Mariana,Uso oral 1 - Dipirona 1 g Tomar 1 comprimido por via oral de 6/6 horas se dor ou febre
6,2020-10-28,1100000006,12345670006,Carlos,USO ORAL 1. FLORATIL 200MG ------------------01 CX TOMAR 1 CP DE 12/12 H POR 3 DIAS 2. ANNITA 500MG ---------------01 CX TOMAR 1 CP DE 12/12 H POR 3 DIAS 3. PANTOPRAZOL 40MG -------01 CX TOMAR 1 CP EM JEJUM 4. BUSCOPAM ---------------01 CX TOMAR 1 CP DE 8/8 H SE DOR ABDOMINAL 5. VONAU 08MG -------------01 CX TOMAR 1 CP DE 8/8 H SE NAUSEAS OU VOMITOS 6. ENTEROGERMINA PLUS ---------------01 CX TOMAR 1 FLACONETE 1X/DIA POR 3 DIAS
7,2020-11-24,1100000007,12345670007,Paula,USO  INT               1- Zinnat 250mg                                          01 cx                    Tomar 01 cp VO 12/12h por 7 dias                2- Biprofenid 150mg                                     01 cx                    Tomar 01 cp VO 12/12h por 5 dias                 3- Lisador   DIP                                           01 cx                      Tomar 01 cp VO 6/6h por 3 dias
8,2020-10-18,1100000008,12345670008,Lucas,"USO ORAL - DIPIRONA 1G   TOMAR 1 COMPRIMIDO DE 6/6 HORAS, SE DOR OU FEBRE - IBUPROFENO 400MG    TOMAR 1 COMPRIMIDO DE 8/8 HORAS, POR 5 DIAS - VONAU    TOMAR 1 COMPRIMIDO SUBLINGUAL DE 8/8 HORAS, SE NAUSEA OU VOMITOS - ENTEROGERMINA PLUS   TOMAR 1 FLACONETE AO DIA POR 5 DIAS - TIORFAN 100MG     TOMAR1 COMPRIMIDO DE 8/8 HORAS, ENQUANTO PERDURAR A DIARREIA "
9,2020-04-16,1100000009,12345670009,Juliana,USO ORAL 1) DAFLON 1000 ------------     TOMAR 1CP AO DIA
10,2020-04-24,1100000010,12345670010,Fernando,"À Nutricionista,  Encaminho o paciente supracitado, portardor de HAS, DLP e obesidade 1 para avaliação e seguimento.  Grata, "
11,2020-05-11,1100000011,12345670011,Cristina," USO NASAL:  SORO FISIOLÓGICO 0,9%  FAZER LAVAGEM NASAL SEMPRE QUE NECESSÁRIO COM DISPOSITIVO ADEQUADO (SERINGA, NASOAR ENTRE OUTROS)  USO INALATÓRIO:  SORO FISIOLÓGICO 0,9% ---------------------- FAZER INALAÇÃO COM 5 ML, 3 VEZES AO DIA, POR 5 DIAS   "
12,2020-11-25,1100000012,12345670012,Rafael,USO ORAL: 1. PREDSIM 40MG TOMAR 01 CP AO DIA POR 5 DIAS 2. PROFENID 100MG TOMAR 01 CP DE 12/12H POR 5 DIAS 3. ACETILCISTEINA 600MG TOMAR 01 SACHE AO DIA POR 5-7 DIAS 4. DIPIRONA 1G TOMAR 01 CP DE 6/6H SE FEBRE
13,2020-08-21,1100000013,12345670013,Patrícia,1- LISADOR DIP 1GR------------------------------------------1CX         TOMAR 1 CP VO DE 6/6 HS SE FEBRE OU DOR
14,2020-12-22,1100000014,12345670014,Vinícius,"Peso: 8kg Uso oral 1- Paracetamol gotas Dar 8 gotas via oral 6/6 horas se dor ou febre Uso inalatorio 2- Inalação com Soro Fisiologico 0,9%----- 2ml                        Clenil A 400mcg-------------- Meio flaconete 1x a noite, 5 dias Uso Nasal 3- Soro fisiologico 0,9% Llimpeza nasal "
15,2020-08-24,1100000015,12345670015,Camila,Uso oral  1- Tolrest 25mg ----------- 14 comp  Tomar um comp via oral por 14 dias e apos aumentar para 50mg  2- Tolrest 50mg ------------- 60 comp  Tomar um comp via oral cedo até o retorno
16,2020-12-30,1100000016,12345670016,Rodrigo,"USO ORAL: 1) BUSCOPAM COMPOSTO --------------------- 01 COMP ATE DE 8 EM 8 HORAS, SE DOR ABDOMINAL.  2) DRAMIN B6 ---------------------------------------- 01 COMP ATE DE 8 EM 8 HORAS, SE NAUSEAS OU VOMITOS.  3) SACCHAROMYCES BOULARDII 200MG ----- 01 COMP DE 12 EM 12 HORAS, POR 5 DIAS.  4) ENTEROGERMINA ---------------------- INGERIR 01 FLACONETE AO DIA.  "
17,2020-12-06,1100000017,12345670017,Tatiana,"uso  oral  continuo synthroid  137-------------------- tomar 1 cp por  via  oral cedo , em jejum , com agua e  aguardar 40 min para desjejum  "
18,2020-05-09,1100000018,12345670018,Gustavo,uso interno: 1) clavulin BD 400mg/5ml Dar 5 ml via oral de 12 em 12 horas por 10 dias  2) prelone 3mg/ml Dar 6ml 1x dia pr via oral por 5 dias  3) culturelle junior  Dar 1 cp mastigavel via oral 1x dia por 10 dias
19,2020-04-23,1100000019,12345670019,Isabela,uso oral  Mioflex A ..................... 1 cx. tomar 1 cp. VO 8/8 hs. Miosan caf 5 mg ........... 1 cx. tomar 1 cp. VO 12/12 hs.
20,2020-05-26,1100000020,12345670020,João,USO ORAL 1. MUSCULARE 10MG ------- TOMAR 1 CP ANTES DE DORMIR POR 5 DIAS
21,2020-11-11,1100000021,12345670021,Maria,"USO INTERNO 1. Ondansetrona 4 mg ------------------------------------- Diluir 1 comprimido em 10 mL de água, e oferta 3 mL, via oral, de até 8/8 horas se nausea ou vomito "
22,2020-03-04,1100000022,12345670022,José,USO ORAL 1) PROLIVE ---------------------------------------- 01 CX TOMAR 01 CP DE 12/12 HORAS POR 05 DIAS
23,2020-07-27,1100000023,12345670023,Ana,"SOLICITAÇÃO DE EXAME CID10: C50.9 SOLICITO: 1. US de mamas - 40901114 2. US de axilas - 40901211 JUSTIFICATIVA: Paciente atualmente com 57 anos, tratada por neoplasia de mama. Última imagem em novembro/2023, com nódulos novos, sem características suspeitas. Solicito exame para avaliação evolutiva. "
24,2020-12-08,1100000024,12345670024,Pedro,"Uso oral 1) Paracetamol 100mg/ml suspensão¿¿¿¿¿¿¿¿¿¿¿¿¿¿.frasco Dar 1,3ml, via oral, de 6 em 6 horas se dor ou febre (temperatura maior que 37,8ºC) OU 2) Dipirona 50mg/ml suspensão¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿.frasco Dar 5 ml, via oral, de 6 em 6 horas se dor ou febre (temperatura maior que 37,8ºC) OU 3) Ibuprofeno 100mg/ml gotas¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿.frasco Dar 10 gotas, por boca de 6 em 6 horas se dor ou febre (temperatura maior que 37,8ºC) **VOLUME LÍQUIDOS: 1.000ml/dia CURVA TÉRMICA DATA                 HORA              TEMPERATURA 05/02                  15h                     38,3ºC "
25,2020-08-09,1100000025,12345670025,Mariana,USO ORAL 1) AMOXICILINA + CLAVULANATO 125+875MG ------------- 20CP TOMAR 1 CP DE 12 EM 12 HORAS POR 10 DIAS 2) PREDNISONA 20MG ----------- TOMAR 1 CP CEDO POR 4 DIAS LAVAGEM NASAL COM SORO - PELO MENOS 5 VEZES AO DIA
26,2020-07-31,1100000026,12345670026,Carlos,Solicito sorologia para citomegalovirus                                        mononucleose                                        toxoplasmose
