ID,DATA,TEL,CPF,SOLICITANTE,CD_TUSS,DS_RECEITA
9458,2025-03-01,1100009458,12345679458,Gustavo,40901114,Mamas
11161,2025-03-02,1100011161,123456711161,Maria,40601110,Procedimento Diagnóstico Em Biópsia Simples Imprint E Cell Block
14824,2025-03-03,1100014824,123456714824,Pedro,40805018,Tórax - 1 Incidência
259,2025-03-04,1100000259,12345670259,Isabela,40103064,Audiometria De Tronco Cerebral (Pea) Bera
7014,2025-03-05,1100007014,12345677014,Vinícius,40101010,Ecg Convencional De Até 12 Derivações
5827,2025-03-06,1100005827,12345675827,Paula,41101014,Crânio (Encéfalo)
8954,2025-03-07,1100008954,12345678954,Vinícius,40901114,Mamas
6637,2025-03-08,1100006637,12345676637,Tatiana,40901483,Doppler Colorido Venoso De Membro Inferior - Unilateral
8707,2025-03-09,1100008707,12345678707,Paula,20102020,Holter De 24 Horas - 3 Canais - Digital
14503,2025-03-10,1100014503,123456714503,Ana,40901300,Transvaginal (Inclui Abdome Inferior Feminino)
13490,2025-03-11,1100013490,123456713490,Fernando,40101037,Teste Ergométrico Computadorizado (Inclui Ecg Basal Convencional)
9946,2025-03-12,1100009946,12345679946,Carlos,40808041,Mamografia Digital Bilateral
12246,2025-03-13,1100012246,123456712246,Carlos,40601137,Procedimento Diagnóstico Em Citopatologia Cérvico-Vaginal Oncótica
98,2025-03-14,1100000098,12345670098,Gustavo,40103072,Audiometria Tonal Limiar Com Testes De Discriminação
5941,2025-03-15,1100005941,12345675941,Maria,41101014,Crânio (Encéfalo)
15534,2025-03-16,1100015534,123456715534,Vinícius,40901203,Órgãos Superficiais (Tireóide Ou Escroto Ou Pênis Ou Crânio)
9545,2025-03-17,1100009545,12345679545,Mariana,40901114,Mamas
9606,2025-03-18,1100009606,12345679606,Carlos,40901114,Mamas
3942,2025-03-19,1100003942,12345673942,José,40901122,Abdome Total (Inclui Pelve)
4829,2025-03-20,1100004829,12345674829,Juliana,40901220,Articular (Por Articulação)
7987,2025-03-21,1100007987,12345677987,Paula,40901106,Ecodopplercardiograma Transtorácico
4519,2025-03-22,1100004519,12345674519,Isabela,41101316,Articular (Por Articulação)
4084,2025-03-23,1100004084,12345674084,Pedro,40901122,Abdome Total (Inclui Pelve)
1799,2025-03-24,1100001799,12345671799,Isabela,41001117,Tc - Pelve Ou Bacia
9157,2025-03-25,1100009157,12345679157,Tatiana,40901114,Mamas
4451,2025-03-26,1100004451,12345674451,Cristina,41101316,Articular (Por Articulação)
1142,2025-03-27,1100001142,12345671142,José,40802051,Coluna Lombo-Sacra -3 Incidências
10641,2025-03-28,1100010641,123456710641,Maria,41101189,Pelve (Não Inclui Articulações Coxofemorais)
10682,2025-03-29,1100010682,123456710682,José,41101189,Pelve (Não Inclui Articulações Coxofemorais)
